date,desc,language,new_stars,times_listed,total_start,trending_type,gh_archived,gh_created_at,gh_data_collected_at,gh_default_branch,gh_description,gh_fork,gh_forks_count,gh_full_name,gh_language,gh_name,gh_network_count,gh_open_issues_count,gh_owner_login,gh_owner_type,gh_size,gh_stargazers_count,gh_subscribers_count,gh_url,gh_watchers,gh_watchers_count
2018-06-08,LAVA: Large-scale Automated Vulnerability Addition,TeX,10,0,14,new_repo,False,1528481183,1550936983,master,LAVA: Large-scale Automated Vulnerability Addition,False,18,panda-re/lava,C++,lava,18.0,8,panda-re,Organization,56851,133,18.0,https://api.github.com/repos/panda-re/lava,133,133
2018-06-10,An open source platform for reproducible machine learning at scale,Python,123,3,1263,repeat_repo,False,1482756527,1550937006,master,A platform for reproducible and scalable machine learning and deep learning on kubernetes,False,158,polyaxon/polyaxon,Python,polyaxon,158.0,82,polyaxon,Organization,31667,1828,57.0,https://api.github.com/repos/polyaxon/polyaxon,1828,1828
2018-06-01,low effort jb,C,11,0,21,new_repo,False,1527852690,1550936864,master,low effort jb,False,37,potmdehex/multipath_kfree,C,multipath_kfree,37.0,5,potmdehex,User,74,133,19.0,https://api.github.com/repos/potmdehex/multipath_kfree,133,133
2018-06-07,A Qt and C++ GUI for radare2 reverse engineering framework,C++,668,0,2501,first_time,False,1506333051,1550936954,master,A Qt and C++ GUI for radare2 reverse engineering framework,False,351,radareorg/cutter,C++,cutter,351.0,139,radareorg,Organization,9401,4228,185.0,https://api.github.com/repos/radareorg/cutter,4228,4228
2018-06-08,🦍• [Work in Progress] React Renderer to build UI interfaces using canvas/WebGL,JavaScript,285,0,571,first_time,False,1527800093,1550936949,master,🦍• [Work in Progress] React Renderer to build UI interfaces using canvas/WebGL,False,32,raphamorim/react-ape,JavaScript,react-ape,32.0,8,raphamorim,User,10424,1016,28.0,https://api.github.com/repos/raphamorim/react-ape,1016,1016
2018-06-08,color lookup tables (LUTs) for color grading,C++,14,0,14,new_repo,False,1528450819,1550936977,master,color lookup tables (LUTs) for color grading,False,3,ray-cast/lut,C++,lut,3.0,0,ray-cast,User,452,31,2.0,https://api.github.com/repos/ray-cast/lut,31,31
2018-06-10,A curated list of project-based tutorials in C,,98,0,1493,repeat_repo,False,1522755321,1550936956,master,A curated list of project-based tutorials in C,False,263,rby90/Project-Based-Tutorials-in-C,,Project-Based-Tutorials-in-C,263.0,0,rby90,User,66,2412,151.0,https://api.github.com/repos/rby90/Project-Based-Tutorials-in-C,2412,2412
2018-06-02,Observe the Rect of a DOM Element,HTML,29,0,33,new_repo,False,1527923069,1550936891,master,Observe the Rect of a DOM Element,False,5,reach/observe-rect,HTML,observe-rect,5.0,3,reach,Organization,911,254,4.0,https://api.github.com/repos/reach/observe-rect,254,254
2018-06-06,A Kotlin script that nukes all build caches from Gradle/Android projects. Useful when Gradle or the IDE let you down 💔,Kotlin,13,0,14,new_repo,False,1528286794,1550936951,master,A Kotlin script that nukes all build caches from Gradle/Android projects. Useful when Gradle or the IDE let you down 💔,False,10,rock3r/deep-clean,Kotlin,deep-clean,10.0,2,rock3r,User,109,288,5.0,https://api.github.com/repos/rock3r/deep-clean,288,288
2018-06-11,Learning operating system development using Linux kernel and Raspberry Pi,C,1152,5,3338,repeat_repo,False,1498147776,1550936953,master,Learning operating system development using Linux kernel and Raspberry Pi,False,424,s-matyukevich/raspberry-pi-os,C,raspberry-pi-os,424.0,11,s-matyukevich,User,1578,6062,351.0,https://api.github.com/repos/s-matyukevich/raspberry-pi-os,6062,6062
